frame,x,y,ankle_angle,knee_angle,hip_flag,point_type
129,202.58203,171.29735,138.7538823967598,138.89168,0,2
130,202.63882,171.28662,138.70611520631903,138.89415,0,2
131,202.63704,171.3865,138.6668264434327,138.99493,0,2
132,200.62837,170.004,141.36179192640193,137.84427,0,2
133,200.5841,169.9895,141.29057017933076,137.92206,0,2
134,200.63881,169.9549,141.31570267494925,137.83986,0,2
135,195.636,165.59045,143.36360552482995,129.8433,0,2
136,195.19043,166.12225,143.93601352082032,127.16813,0,2
137,195.13715,166.2539,144.07038243993645,127.048615,0,2
138,195.26491,170.93652,137.27661763450467,133.58472,0,2
139,191.28644,168.99496,138.34487497320637,128.78888,1,3
140,190.78275,168.8725,138.43994359434265,128.01694,1,3
141,190.76277,168.92096,138.37136936137853,128.30653,1,3
142,185.90657,169.78177,139.02732937969017,120.14757,1,3
143,182.89584,172.94928,136.98573913334926,118.97771,1,3
144,183.33136,173.12517,136.58841832173897,117.79803,1,3
145,175.65735,177.03777,131.94142593211433,117.04628,1,3
146,177.53183,176.26451,134.22715788275056,114.004,1,3
147,176.79037,175.99854,134.03411524112866,113.653885,1,3
148,176.89189,176.06734,134.0671578158998,113.8667,1,3
149,169.66966,183.80748,128.33157789304323,113.554565,1,3
150,170.28712,183.05032,128.96284765339783,112.99811,1,3
151,170.29312,183.04102,128.96150807680806,113.02246,1,3
152,164.70908,180.38147,125.17215749413887,117.22329,1,3
153,164.78868,180.12949,125.21324465057228,117.35154,1,3
154,164.87253,179.99136,125.36051363889925,117.26419,1,3
155,159.95824,178.12402,122.204401884223,120.64981,1,3
156,155.42923,174.95923,117.97557668141145,124.62145,1,3
157,155.47954,174.98218,117.99438718556347,124.78676,1,3
158,155.49043,174.97926,117.98795164378116,124.810974,1,3
159,178.32445,183.9903,121.86089254071081,135.81128,1,4
160,183.634,187.25278,121.22488201328032,143.0572,1,4
161,183.92377,187.30234,121.16131714203486,143.5766,1,4
162,142.86375,180.41394,105.5765999269455,132.14287,1,5
163,139.08136,182.3395,102.16709624133023,136.15797,1,5
164,140.88039,183.78735,103.23397879420857,134.41386,1,5
165,134.72623,181.92113,100.27970769773813,137.22353,1,5
166,127.85832,181.89334,97.90962936094623,135.6367,1,5
167,127.7876,182.4203,97.69474662455833,136.01007,1,5
168,127.22935,182.18488,98.58579594318572,134.2014,1,5
169,115.076584,181.66524,88.47722997960568,141.7225,1,5
170,114.86953,181.4917,88.33967869538466,142.00131,1,5
171,114.73619,181.54523,88.30792311491642,141.95973,1,5
172,111.84593,182.70447,83.39378369402345,150.51376,1,5
173,109.4534,184.05905,81.5489145959737,152.4435,1,5
174,109.00472,183.97374,81.52339572937298,152.15907,1,5
175,107.19494,182.61246,78.90960378206464,155.24168,1,5
176,104.145256,181.25629,75.03052693423211,156.85965,1,5
177,104.6163,181.34232,75.37591752011525,157.05165,1,5
178,104.653046,181.2836,75.41262938837879,156.89156,1,5
179,100.973526,183.30138,74.05857779688733,158.1104,1,5
180,102.77226,184.99896,75.28024015288868,159.52533,1,5
181,102.79579,185.08691,75.35175545126897,159.5173,1,5
182,101.741646,184.33147,74.82110449024007,159.17886,1,5
183,103.91624,185.01398,76.13503438259652,160.09302,1,5
184,103.88882,185.01994,76.11527352257129,160.04436,1,5
185,103.86393,185.03897,76.05474396638851,160.08728,1,5
186,105.2198,183.7923,78.7897041995823,154.5756,1,5
187,103.18047,182.67734,77.6261259795261,155.62775,1,5
188,103.24704,182.68674,77.64831524376513,155.63329,1,5
189,106.374176,181.94725,80.38107987197898,154.13199,1,5
190,107.81568,180.16245,81.18054085936352,154.37794,1,5
191,107.56014,180.25024,80.80404131121433,154.44312,1,5
192,105.97435,181.4141,76.76678512797235,157.13927,1,5
193,108.81209,181.60129,80.06039400678954,153.594,1,5
194,108.997246,181.686,80.34832209768116,153.24933,1,5
195,108.968185,181.67447,80.2285389835626,153.26396,1,5
196,117.01834,191.69322,87.45055545131179,154.29947,1,5
197,117.07593,191.60501,87.40869020186543,154.41182,1,5
198,117.31297,191.6541,87.5003945723832,154.4468,1,5
199,134.01668,185.58894,105.26951046307893,137.30746,1,5
200,128.85477,190.26808,98.7991896676257,143.06294,1,5
201,128.78633,189.93324,98.69980051271988,143.10101,1,5
202,129.9119,187.67455,99.3752439351017,141.4141,1,5
203,137.63416,187.53885,107.62848714583475,132.98015,1,5
204,137.62453,188.26964,107.1644403671398,134.71701,1,5
205,137.5912,188.25339,107.14206670004884,134.75876,1,5
206,139.45409,187.74525,106.84515644581171,134.99858,1,5
207,143.0212,188.27838,108.97441651092055,133.18324,1,5
208,142.75926,188.29526,108.66906011950825,133.66911,1,5
209,147.56424,188.89938,110.4589234524825,133.8287,1,5
210,150.60367,188.45706,111.4953462787988,132.60077,1,5
211,150.69704,188.67177,111.48495214639374,132.78867,1,5
212,153.38734,189.2425,112.15391644098776,133.67133,1,5
213,162.11453,186.85242,118.71777921126348,127.64425,1,4
214,162.2832,187.19327,118.85486659433505,127.39299,1,4
215,162.10638,187.2915,118.76187721327717,127.372665,1,4
216,166.52266,189.64285,121.0301940648948,124.832954,1,3
217,166.4808,189.62283,120.97348642723966,124.94075,1,3
218,166.47586,189.61148,120.96446922255872,124.963684,1,3
219,168.53125,187.19698,122.32415699748705,124.32662,1,3
220,175.43506,189.35995,123.52278452660939,130.52481,1,4
221,174.8542,189.0003,123.51985559817503,129.93405,1,4
222,174.55136,188.48972,123.54028642935641,129.6944,1,4
223,186.1629,193.09344,124.03074613577546,140.02365,1,4
224,186.24417,192.98181,124.05244511473555,140.09174,1,4
225,186.2057,192.89685,124.07220364055361,139.94786,1,4
226,189.64716,192.47989,124.06464678986357,142.7256,1,4
227,192.14098,191.63928,122.86949067376719,147.79631,0,2
228,191.53001,191.85101,123.27507248111566,147.56227,0,2
229,194.12596,192.89255,123.3678879336744,149.7346,0,2
230,197.85678,192.73871,122.45865222092874,155.0383,0,2
231,197.7922,192.74904,122.32709106774759,155.35356,0,2
232,197.74632,192.69609,122.23296527962447,155.45506,0,2
233,200.37437,191.36725,121.03553866566986,159.42358,0,1
234,200.39236,191.5278,120.85197701644624,160.19562,0,1
235,200.38345,191.47667,120.85707694493904,160.17851,0,1
236,205.90591,189.20181,123.1357973980931,160.1144,0,2
